Name,Answer relevancy,Faithfulness,Contextual precision,Contextual recall,Contextual relevancy
RAG Gemma Distiluse,0.9389572460998884,0.8861085514604126,0.960646849878482,0.9550990839409236,0.7367194394389643
RAG Llama Distiluse,0.9028581511233936,0.7676848548813346,0.9561132922041504,0.8824833747295889,0.4728723836168327
RAG Mistral Distiluse,0.8291033883439167,0.785208081941116,0.957132953199975,0.8728494945166895,0.6094878387643391
RAG Llama MiniLM,0.9164902730422848,0.7930590125218313,0.965086932136848,0.9192839783137036,0.5389256253810376
RAG Gemma MiniLM,0.9185415099863824,0.8951820808032249,0.968592260235558,0.9796130117779024,0.7786059861494522
RAG Mistral MiniLM,0.9446989305722369,0.8766990714775347,0.9680314077397645,0.9807627593942794,0.7242982666987154
